field.latitude,field.longitude,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.covariance0,field.twist.covariance0,,,,%time 
47.1160286,-88.5501943,-0.262,-0.066,0.009216,0.009216,,,,1.76E+18
47.1160286,-88.5501941,0.106,0.025,0.008836,0.008836,,,,1.76E+18
47.1160286,-88.5501941,-0.109,0.004,0.008281,0.008281,,,,1.76E+18
47.1160286,-88.5501941,0.009,0.155,0.013456,0.013456,,,,1.76E+18
47.1160284,-88.550194,0.023,-0.215,0.014884,0.014884,,,,1.76E+18
47.1160285,-88.550194,-0.09,0.102,0.012769,0.012769,,,,1.76E+18
47.1160283,-88.550194,-0.083,-0.16,0.011236,0.011236,,,,1.76E+18
47.1160284,-88.550194,0.09,-0.057,0.012769,0.012769,,,,1.76E+18
47.1160283,-88.550194,0.013,-0.116,0.014884,0.014884,,,,1.76E+18
47.1160283,-88.5501939,-0.025,0.138,0.014641,0.014641,,,,1.76E+18
47.1160283,-88.5501939,-0.001,-0.042,0.011664,0.011664,,,,1.76E+18
47.1160283,-88.550194,-0.098,-0.038,0.007744,0.007744,,,,1.76E+18
47.1160282,-88.5501939,-0.024,-0.121,0.010816,0.010816,,,,1.76E+18
47.1160274,-88.5501936,0.155,-0.267,0.013225,0.013225,,,,1.76E+18
47.116027,-88.5501937,0.009,-0.456,0.012769,0.012769,,,,1.76E+18
47.1160268,-88.5501939,-0.033,-0.272,0.011881,0.011881,,,,1.76E+18
47.1160268,-88.5501941,0.005,-0.181,0.009025,0.009025,,,,1.76E+18
47.1160264,-88.5501941,0.038,-0.238,0.009216,0.009216,,,,1.76E+18
47.1160261,-88.5501941,-0.025,-0.182,0.008836,0.008836,,,,1.76E+18
47.116026,-88.5501941,0.019,-0.091,0.006889,0.006889,,,,1.76E+18
47.1160257,-88.5501941,-0.024,-0.162,0.007744,0.007744,,,,1.76E+18
47.1160254,-88.5501941,-0.035,-0.148,0.007744,0.007744,,,,1.76E+18
47.1160251,-88.5501941,0.038,-0.285,0.009801,0.009801,,,,1.76E+18
47.1160249,-88.550194,0.114,-0.17,0.009604,0.009604,,,,1.76E+18
47.1160247,-88.5501941,-0.024,-0.236,0.010404,0.010404,,,,1.76E+18
47.1160246,-88.550194,-0.053,-0.223,0.009801,0.009801,,,,1.76E+18
47.1160247,-88.550194,0.032,-0.042,0.007396,0.007396,,,,1.76E+18
47.1160247,-88.5501939,0.093,-0.037,0.005625,0.005625,,,,1.76E+18
47.1160247,-88.5501939,-0.017,-0.022,0.005929,0.005929,,,,1.76E+18
47.1160247,-88.5501939,-0.021,0.049,0.007569,0.007569,,,,1.76E+18
47.1160247,-88.550194,-0.082,-0.069,0.005329,0.005329,,,,1.76E+18
47.1160247,-88.550194,0.045,0.075,0.006084,0.006084,,,,1.76E+18
47.1160247,-88.550194,0.004,0.012,0.007569,0.007569,,,,1.76E+18
47.1160247,-88.550194,-0.035,-0.014,0.0036,0.0036,,,,1.76E+18
47.1160247,-88.5501939,0.047,-0.021,0.005776,0.005776,,,,1.76E+18
47.1160247,-88.550194,-0.043,-0.143,0.009216,0.009216,,,,1.76E+18
47.1160247,-88.550194,0.027,-0.004,0.004096,0.004096,,,,1.76E+18
47.1160246,-88.550194,-0.009,-0.096,0.009409,0.009409,,,,1.76E+18
47.1160245,-88.550194,0.008,-0.165,0.009409,0.009409,,,,1.76E+18
47.1160243,-88.5501941,-0.058,-0.173,0.007921,0.007921,,,,1.76E+18
47.1160242,-88.5501941,0.044,-0.133,0.008836,0.008836,,,,1.76E+18
47.1160241,-88.550194,0.043,-0.152,0.008281,0.008281,,,,1.76E+18
47.116024,-88.550194,-0.017,-0.074,0.005929,0.005929,,,,1.76E+18
