field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,,,,,%time  1759798013049710000
-0.003046162,-0.011635845,0.876491675,-0.481266737,0.001284149,-0.111196715,-0.104715793,,,,,1.76E+18
-0.003041504,-0.011633519,0.87649882,-0.48125381,-0.000934596,-0.107575669,-0.111013653,,,,,1.76E+18
-0.003034827,-0.01163363,0.876498147,-0.481255075,0.00151059,-0.107294868,-0.14017964,,,,,1.76E+18
-0.003029844,-0.011641646,0.876499221,-0.481252956,0.000479816,-0.105390241,-0.157096383,,,,,1.76E+18
-0.003035983,-0.011639012,0.876494371,-0.481261814,0.000584644,-0.110445656,-0.145656493,,,,,1.76E+18
-0.003036496,-0.011630534,0.876483558,-0.481281708,0.001321573,-0.108912421,-0.115895745,,,,,1.76E+18
-0.003040627,-0.011627721,0.876477475,-0.481292828,0.00081818,-0.106431157,-0.101153649,,,,,1.76E+18
-0.003035957,-0.011632226,0.876479198,-0.481289612,0.000726879,-0.10681248,-0.120909283,,,,,1.76E+18
-0.003033509,-0.011639091,0.876482401,-0.481283627,0.001096575,-0.107282281,-0.153070104,,,,,1.76E+18
-0.003038794,-0.011644042,0.876479253,-0.481289207,0.000556194,-0.115028416,-0.159666239,,,,,1.76E+18
-0.003037503,-0.011643754,0.876471175,-0.481303934,0.000442557,-0.115125042,-0.132850912,,,,,1.76E+18
-0.003043458,-0.011633976,0.876470198,-0.481305911,0.00168581,-0.109425297,-0.112199172,,,,,1.76E+18
-0.003045075,-0.011630101,0.876473965,-0.481299134,0.000901573,-0.107110628,-0.10764984,,,,,1.76E+18
-0.003044782,-0.011637033,0.876471257,-0.4813039,0.001385299,-0.111110985,-0.134521194,,,,,1.76E+18
-0.003043884,-0.011643021,0.876470797,-0.481304599,0.0005441,-0.112647232,-0.158783719,,,,,1.76E+18
-0.003052584,-0.011645053,0.876472995,-0.481300492,0.001232358,-0.115918556,-0.149888212,,,,,1.76E+18
-0.003056835,-0.011639883,0.876477082,-0.481293148,0.000529674,-0.113028362,-0.125439956,,,,,1.76E+18
-0.003050837,-0.011634413,0.876477973,-0.481291695,-2.79E-05,-0.104420057,-0.113760463,,,,,1.76E+18
-0.003047161,-0.011635285,0.876475405,-0.481296374,0.000336689,-0.102530365,-0.122664947,,,,,1.76E+18
-0.003050085,-0.011636442,0.876479633,-0.481288627,0.000428584,-0.110844012,-0.154671731,,,,,1.76E+18
-0.003050663,-0.011642182,0.876486663,-0.481275683,0.00117878,-0.117188543,-0.163913541,,,,,1.76E+18
-0.003051546,-0.011642941,0.876489167,-0.481271099,0.000266006,-0.116219472,-0.142930575,,,,,1.76E+18
-0.003051137,-0.011636568,0.876480159,-0.481287659,0.001400915,-0.109691514,-0.11710947,,,,,1.76E+18
-0.003048643,-0.011635814,0.876478767,-0.481290229,3.75E-05,-0.099384899,-0.114785952,,,,,1.76E+18
-0.003045517,-0.011639404,0.876479728,-0.481288413,0.000143779,-0.102533554,-0.13993393,,,,,1.76E+18
-0.003046773,-0.011648043,0.876481636,-0.48128472,-0.000326598,-0.113494903,-0.162482661,,,,,1.76E+18
-0.00304675,-0.011648339,0.876480735,-0.481286354,0.000332638,-0.11748953,-0.157017239,,,,,1.76E+18
-0.003052324,-0.011644999,0.876476437,-0.481294227,0.000294858,-0.116325488,-0.131032186,,,,,1.76E+18
-0.003052028,-0.011646105,0.876467256,-0.481310921,0.001571389,-0.109174242,-0.111533686,,,,,1.76E+18
-0.003049834,-0.011645556,0.876462914,-0.481318854,0.000810871,-0.101603478,-0.123507337,,,,,1.76E+18
-0.003051234,-0.011651208,0.876466329,-0.48131249,0.000562854,-0.10407897,-0.152659839,,,,,1.76E+18
-0.003050544,-0.011651243,0.876476191,-0.481294535,0.000104082,-0.1100078,-0.166216894,,,,,1.76E+18
-0.003054982,-0.011646507,0.876476101,-0.481294785,0.000897178,-0.116432225,-0.145191445,,,,,1.76E+18
-0.003053602,-0.011640308,0.876465937,-0.481313453,0.000714766,-0.112447044,-0.115782522,,,,,1.76E+18
-0.00305443,-0.011634896,0.876460216,-0.481323995,0.000388911,-0.103902793,-0.109631785,,,,,1.76E+18
-0.003047874,-0.011633676,0.876470217,-0.481305856,0.001485127,-0.099642454,-0.13355612,,,,,1.76E+18
-0.003051962,-0.011637426,0.876488859,-0.481271789,-0.000969111,-0.105174434,-0.156725763,,,,,1.76E+18
-0.003052497,-0.011632032,0.876488111,-0.48127328,0.001549458,-0.111635606,-0.155889508,,,,,1.76E+18
-0.003053751,-0.011627618,0.87647937,-0.481289296,0.001073737,-0.110079759,-0.129758354,,,,,1.76E+18
-0.003051952,-0.011619813,0.876477922,-0.481292134,-0.000279853,-0.105625969,-0.104162545,,,,,1.76E+18
-0.003045951,-0.011618413,0.87648286,-0.481283213,0.001236517,-0.103528362,-0.114059838,,,,,1.76E+18
-0.003043572,-0.011621766,0.876490653,-0.481268955,0.000815414,-0.10127579,-0.144469925,,,,,1.76E+18
-0.003046464,-0.011625094,0.876489929,-0.481270174,0.000366006,-0.110625936,-0.157011017,,,,,1.76E+18
-0.003050916,-0.011622783,0.876483591,-0.481281745,0.000650259,-0.114051618,-0.144279043,,,,,1.76E+18
-0.003049945,-0.011614903,0.876477969,-0.481292179,0.000726076,-0.10679502,-0.116082125,,,,,1.76E+18
-0.003051166,-0.011605235,0.876475583,-0.48129675,0.000236949,-0.101635801,-0.102184668,,,,,1.76E+18
-0.003046334,-0.011612158,0.876473813,-0.481299836,0.000583296,-0.101539938,-0.123868497,,,,,1.76E+18
-0.003048838,-0.011619297,0.876474676,-0.481298077,8.06E-05,-0.107888915,-0.149986865,,,,,1.76E+18
-0.003047493,-0.011616715,0.876472324,-0.481302432,0.00077617,-0.110873644,-0.152966128,,,,,1.76E+18
-0.003043246,-0.011615948,0.876468701,-0.481309073,-0.000550788,-0.111852519,-0.13227578,,,,,1.76E+18
-0.003049104,-0.011612342,0.876464592,-0.481316606,5.58E-05,-0.109458391,-0.108057036,,,,,1.76E+18
-0.003043579,-0.01161455,0.876467649,-0.481311022,-0.000292396,-0.105911951,-0.11143335,,,,,1.76E+18
-0.003045725,-0.011619008,0.87647234,-0.481302357,0.00051132,-0.107709349,-0.141768809,,,,,1.76E+18
-0.003043634,-0.011618684,0.87646801,-0.481310263,0.002065919,-0.112830651,-0.156908569,,,,,1.76E+18
-0.003048899,-0.011615557,0.876464156,-0.481317324,0.000467379,-0.115667566,-0.1479635,,,,,1.76E+18
-0.003055873,-0.01161088,0.876471608,-0.481303823,-0.000432953,-0.112477048,-0.114837555,,,,,1.76E+18
-0.003056276,-0.011607353,0.87648059,-0.481287548,0.000262562,-0.107640957,-0.10747504,,,,,1.76E+18
-0.003054773,-0.011617276,0.876478358,-0.481291384,0.001248171,-0.10300145,-0.126590833,,,,,1.76E+18
-0.003051074,-0.011622422,0.876480244,-0.481287847,-1.14E-05,-0.110439042,-0.155055152,,,,,1.76E+18
-0.003056999,-0.011627011,0.876487793,-0.481273951,1.82E-05,-0.118152027,-0.159500372,,,,,1.76E+18
-0.003054617,-0.01162259,0.876492008,-0.481266397,0.000998223,-0.114956157,-0.136970649,,,,,1.76E+18
-0.003054365,-0.011614682,0.876490292,-0.481269714,2.65E-05,-0.108672005,-0.111212934,,,,,1.76E+18
-0.003052417,-0.011610462,0.876484127,-0.481281055,0.000853658,-0.10234519,-0.11417214,,,,,1.76E+18
